Read Group Name GATK,Paivi Sample Name for Libraries
P1_BC26_sorted_rg,EL-7-2
P1_BC27_sorted_rg,EL-88-1
P1_BC28_sorted_rg,EU-26-1
P1_BC29_sorted_rg,EL-69-2
P1_BC2_sorted_rg,EU-1-2
P1_BC30_sorted_rg,EL-3-3
P1_BC31_sorted_rg,AU-24-3
P1_BC32_sorted_rg,EU-6-1
P1_BC33_sorted_rg,EL-11-1
P1_BC34_sorted_rg,AL-2-8
P1_BC35_sorted_rg,AU-5-1
P1_BC36_sorted_rg,CL-32-2
P1_BC37_sorted_rg,PET-10
P1_BC38_sorted_rg,EU-7-2
P1_BC39_sorted_rg,CU-3-2
P1_BC3_sorted_rg,CL-3-3
P1_BC40_sorted_rg,AU-22-3
P1_BC41_sorted_rg,AU-15-1
P1_BC42_sorted_rg,AU-13-3
P1_BC43_sorted_rg,AU-4-6
P1_BC44_sorted_rg,AU-26-4
P1_BC45_sorted_rg,AU-10-4
P1_BC46_sorted_rg,EL-63-2
P1_BC47_sorted_rg,CU-56-2
P1_BC48_sorted_rg,AU-15-5
P1_BC4_sorted_rg,CU-65-1
P1_BC5_sorted_rg,CL-19-3
P1_BC6_sorted_rg,AL-5-7
P1_BC7_sorted_rg,AU-13-6
P1_BC8_sorted_rg,AU-14-8
P1_BC9_sorted_rg,AU-29-3
P2_BC10_sorted_rg,EL-30-3
P2_BC11_sorted_rg,EL-93-1
P2_BC12_sorted_rg,AL-6-5
P2_BC13_sorted_rg,AU-32-1
P2_BC14_sorted_rg,EU-20-2
P2_BC15_sorted_rg,AL-9-6
P2_BC16_sorted_rg,AL-9-1
P2_BC17_sorted_rg,CU-71-2
P2_BC18_sorted_rg,AL-1-9
P2_BC19_sorted_rg,EU-47-3
P2_BC1_sorted_rg,EL-36-1
P2_BC20_sorted_rg,EU-47-2
P2_BC21_sorted_rg,EL-13-2
P2_BC22_sorted_rg,EL-38-2
P2_BC23_sorted_rg,EL-20-2
P2_BC24_sorted_rg,AL-8-8
P2_BC25_sorted_rg,CL-17-1
P2_BC26_sorted_rg,EL-42-1
P2_BC27_sorted_rg,CU-7-1
P2_BC28_sorted_rg,AL-3-9
P2_BC29_sorted_rg,EL-25-1
P2_BC2_sorted_rg,CU-26-2
P2_BC30_sorted_rg,CL-47-2
